cue,name,string
7, LiPF6, LIPF6
8, LiBF4, LIBF4
9, LiBOB, LIBOB
10, LiTFSI, LITFSI
11, Li2(B12F12), LI2(B12F12)
12, LiDFOB, LIDFOB
13, LiFSI, LIFSI
14, Li-Triflate, LI-TRIFLATE
15,LiAsF6,LIASF6
16,LiPO2F2,LIPO2F2
17, NaClO4, NACLO4
18, NaPF6, NAPF6
19, NaBF4, NABF4
20, NaTFSI, NATFSI
21, PA5-PF6 (RTIL), PA5-PF6 (RTIL)
22, PYR13-FSI (RTIL), PYR13-FSI (RTIL)
23,EMI-FSI (RTIL),EMI-FSI (RTIL)
24,CsPF6,CSPF6
25,Mg(TFSI)2,MG(TFSI)2
27, NaNO3, NANO3
26, NaCl, NACL
31, MgSO4, MGSO4
32, Al(NO3)3, AL(NO3)3
28,Na2SO4,NA2SO4
29,LiNO3,LINO3
30,Li2SO4,LI2SO4
31,MgSO4,MGSO4
32,Al(NO3)3,AL(NO3)3
33,LiBr,LIBr
34,NaOH,NAOH
35,KOH,KOH
36,LiOH,LIOH
37,NaFSI,NAFSI
39,NaOH/KOH (1:1),NAOH/KOH
40,NaK(OOCH/HCO3),NAK(OOCH/HCO3)
41,NaKCO3,NAKCO3
42,Na3PO4/K3PO4 (1:1),NA3PO4/K3PO4
